target,target_label,model,features,eval_method,pearson_r,spearman_rho,rmse,mae
c_3pl_guess,Guessing (c),RF,D_all_28,holdout,-0.11579653030110823,-0.004729690742858836,0.1958047738139895,0.16177212718656755
c_3pl_guess,Guessing (c),RF,D_all_28,all_LOO,0.018211868084733882,0.07529773740879292,0.17805771025798306,0.14829002372629474
difficulty_classical,Classical Difficulty,Direct_LLM,direct_prediction,holdout,0.25967059986641633,0.12481203007518797,0.16693384318345994,0.13068000000000002
difficulty_classical,Classical Difficulty,Direct_LLM,direct_prediction,all_LOO,-0.005030424837634814,-0.008060740884128902,0.19925933679504207,0.161593
difficulty_classical,Classical Difficulty,Ridge,A_ratings_mean,holdout,0.042646396700451415,-0.156390977443609,0.11313622384675766,0.08698262015564877
difficulty_classical,Classical Difficulty,Ridge,A_ratings_mean,all_LOO,-0.15646469117479997,-0.13441344134413438,0.15840797147881816,0.12817185812771179
difficulty_classical,Classical Difficulty,Lasso,A_ratings_mean,holdout,,,0.10817858678621431,0.08332725000000002
difficulty_classical,Classical Difficulty,Lasso,A_ratings_mean,all_LOO,-1.0,-0.9999999999999999,0.14572495793783255,0.11554191919191918
difficulty_classical,Classical Difficulty,ElasticNet,A_ratings_mean,holdout,,,0.10817858678621431,0.08332725000000002
difficulty_classical,Classical Difficulty,ElasticNet,A_ratings_mean,all_LOO,-1.0,-0.9999999999999999,0.14572495793783255,0.11554191919191918
difficulty_classical,Classical Difficulty,RF,A_ratings_mean,holdout,0.15958467610165483,0.17593984962406017,0.11083479040909419,0.08813721751044129
difficulty_classical,Classical Difficulty,RF,A_ratings_mean,all_LOO,-0.16690932101799508,-0.15471947194719468,0.15591583241251547,0.12707131622137166
difficulty_classical,Classical Difficulty,Ridge,B_ratings_mean_std,holdout,0.014176144173682154,0.03458646616541353,0.1374943565305382,0.10036091597660617
difficulty_classical,Classical Difficulty,Ridge,B_ratings_mean_std,all_LOO,-0.23285692445370176,-0.26000600060005996,0.17837989160908885,0.1463411031360826
difficulty_classical,Classical Difficulty,Lasso,B_ratings_mean_std,holdout,,,0.10817858678621431,0.08332725000000002
difficulty_classical,Classical Difficulty,Lasso,B_ratings_mean_std,all_LOO,-1.0,-0.9999999999999999,0.14572495793783255,0.11554191919191918
difficulty_classical,Classical Difficulty,ElasticNet,B_ratings_mean_std,holdout,,,0.10817858678621431,0.08332725000000002
difficulty_classical,Classical Difficulty,ElasticNet,B_ratings_mean_std,all_LOO,-1.0,-0.9999999999999999,0.14572495793783255,0.11554191919191918
difficulty_classical,Classical Difficulty,RF,B_ratings_mean_std,holdout,0.19461238196833242,0.1894736842105263,0.10979035281942302,0.08460790258946041
difficulty_classical,Classical Difficulty,RF,B_ratings_mean_std,all_LOO,-0.1310456038597836,-0.1359015901590159,0.15536199537197487,0.12598628468945783
difficulty_classical,Classical Difficulty,Ridge,C_ratings_plus_direct,holdout,0.26523628099460733,0.13233082706766916,0.1079028155218721,0.08068485977023368
difficulty_classical,Classical Difficulty,Ridge,C_ratings_plus_direct,all_LOO,-0.1930445744697205,-0.1628082808280828,0.16291840050299822,0.1293536581734173
difficulty_classical,Classical Difficulty,Lasso,C_ratings_plus_direct,holdout,,,0.10817858678621431,0.08332725000000002
difficulty_classical,Classical Difficulty,Lasso,C_ratings_plus_direct,all_LOO,-1.0,-0.9999999999999999,0.14572495793783255,0.11554191919191918
difficulty_classical,Classical Difficulty,ElasticNet,C_ratings_plus_direct,holdout,,,0.10817858678621431,0.08332725000000002
difficulty_classical,Classical Difficulty,ElasticNet,C_ratings_plus_direct,all_LOO,-1.0,-0.9999999999999999,0.14572495793783255,0.11554191919191918
difficulty_classical,Classical Difficulty,RF,C_ratings_plus_direct,holdout,0.07756760639366911,0.021052631578947364,0.11330245081237271,0.09200207230784371
difficulty_classical,Classical Difficulty,RF,C_ratings_plus_direct,all_LOO,-0.24613229800106243,-0.2782598259825982,0.15777264551969505,0.12918405057373555
difficulty_classical,Classical Difficulty,Ridge,D_all_28,holdout,0.16765200547364556,0.15789473684210525,0.12818329955199315,0.09713862845817792
difficulty_classical,Classical Difficulty,Ridge,D_all_28,all_LOO,-0.2671400263478684,-0.2731113111311131,0.18752290226114274,0.1503228291245834
difficulty_classical,Classical Difficulty,Lasso,D_all_28,holdout,,,0.10817858678621431,0.08332725000000002
difficulty_classical,Classical Difficulty,Lasso,D_all_28,all_LOO,-1.0,-0.9999999999999999,0.14572495793783255,0.11554191919191918
difficulty_classical,Classical Difficulty,ElasticNet,D_all_28,holdout,,,0.10817858678621431,0.08332725000000002
difficulty_classical,Classical Difficulty,ElasticNet,D_all_28,all_LOO,-1.0,-0.9999999999999999,0.14572495793783255,0.11554191919191918
difficulty_classical,Classical Difficulty,RF,D_all_28,holdout,0.0665579588893019,0.11428571428571428,0.11392935800704433,0.08770380513307252
difficulty_classical,Classical Difficulty,RF,D_all_28,all_LOO,-0.18884702154559663,-0.19932793279327932,0.15769032815865802,0.12760386051713676
